Average Time,Activation,Underlying Relationship,Observations,Dimensions,Depth
0.05172133445739746,Leaky_ReLU,exp,100,5,10
0.0494379997253418,ELU,exp,100,5,10
0.031024456024169922,PReLU,exp,100,5,10
0.0558624267578125,SELU,exp,100,5,10
0.03232979774475098,ALReLU,exp,100,5,10
0.09804296493530273,ReLU,exp,100,5,30
0.11661219596862793,Leaky_ReLU,exp,100,5,30
0.11722850799560547,ELU,exp,100,5,30
0.11640810966491699,PReLU,exp,100,5,30
0.05871891975402832,SELU,exp,100,5,30
0.09784364700317383,ALReLU,exp,100,5,30
0.0062143802642822266,ReLU,lin,500,1,1
0.020230531692504883,Leaky_ReLU,lin,500,1,1
0.0075931549072265625,ELU,lin,500,1,1
0.02270984649658203,PReLU,lin,500,1,1
0.01496434211730957,SELU,lin,500,1,1
0.02424478530883789,ALReLU,lin,500,1,1
0.011779546737670898,ReLU,lin,500,1,3
0.009999990463256836,Leaky_ReLU,lin,500,1,3
0.01256418228149414,ELU,lin,500,1,3
0.01451253890991211,PReLU,lin,500,1,3
0.011609077453613281,SELU,lin,500,1,3
0.016650676727294922,ALReLU,lin,500,1,3
0.03184199333190918,ReLU,lin,500,1,10
0.03215312957763672,Leaky_ReLU,lin,500,1,10
0.08964037895202637,ELU,lin,500,1,10
0.06869745254516602,PReLU,lin,500,1,10
0.03845787048339844,SELU,lin,500,1,10
0.08365559577941895,ALReLU,lin,500,1,10
0.08435273170471191,ReLU,lin,500,1,30
0.09410643577575684,Leaky_ReLU,lin,500,1,30
0.08543014526367188,ELU,lin,500,1,30
0.1549994945526123,PReLU,lin,500,1,30
0.11295413970947266,SELU,lin,500,1,30
0.27343249320983887,ALReLU,lin,500,1,30
0.010880231857299805,ReLU,sin,500,1,1
0.017859458923339844,Leaky_ReLU,sin,500,1,1
0.009125709533691406,ELU,sin,500,1,1
0.0070149898529052734,PReLU,sin,500,1,1
0.009506940841674805,SELU,sin,500,1,1
0.014997482299804688,ALReLU,sin,500,1,1
0.014343738555908203,ReLU,sin,500,1,3
0.011479377746582031,Leaky_ReLU,sin,500,1,3
0.012248516082763672,ELU,sin,500,1,3
0.02417898178100586,PReLU,sin,500,1,3
0.03430676460266113,SELU,sin,500,1,3
0.042496442794799805,ALReLU,sin,500,1,3
0.0623781681060791,ReLU,sin,500,1,10
0.03053569793701172,Leaky_ReLU,sin,500,1,10
0.06171083450317383,ELU,sin,500,1,10
0.06627869606018066,PReLU,sin,500,1,10
0.029292821884155273,SELU,sin,500,1,10
0.11068391799926758,ALReLU,sin,500,1,10
0.11397838592529297,ReLU,sin,500,1,30
0.12371063232421875,Leaky_ReLU,sin,500,1,30
0.08251547813415527,ELU,sin,500,1,30
0.12037086486816406,PReLU,sin,500,1,30
0.08497834205627441,SELU,sin,500,1,30
0.18264341354370117,ALReLU,sin,500,1,30
0.00623011589050293,ReLU,qdr,500,1,1
0.011003494262695312,Leaky_ReLU,qdr,500,1,1
0.012734651565551758,ELU,qdr,500,1,1
0.008563756942749023,PReLU,qdr,500,1,1
0.006211280822753906,SELU,qdr,500,1,1
0.007704496383666992,ALReLU,qdr,500,1,1
0.018559694290161133,ReLU,qdr,500,1,3
0.03354525566101074,Leaky_ReLU,qdr,500,1,3
0.013812780380249023,ELU,qdr,500,1,3
0.015561342239379883,PReLU,qdr,500,1,3
0.010334968566894531,SELU,qdr,500,1,3
0.02361583709716797,ALReLU,qdr,500,1,3
0.027598857879638672,ReLU,qdr,500,1,10
0.03129220008850098,Leaky_ReLU,qdr,500,1,10
0.03744673728942871,ELU,qdr,500,1,10
0.04046988487243652,PReLU,qdr,500,1,10
0.03488731384277344,SELU,qdr,500,1,10
0.04695940017700195,ALReLU,qdr,500,1,10
0.07698965072631836,ReLU,qdr,500,1,30
0.09252023696899414,Leaky_ReLU,qdr,500,1,30
0.07810854911804199,ELU,qdr,500,1,30
0.13521170616149902,PReLU,qdr,500,1,30
0.09487056732177734,SELU,qdr,500,1,30
0.17621636390686035,ALReLU,qdr,500,1,30
0.009675979614257812,ReLU,exp,500,1,1
0.006792545318603516,Leaky_ReLU,exp,500,1,1
0.006751060485839844,ELU,exp,500,1,1
0.009938955307006836,PReLU,exp,500,1,1
0.008105039596557617,SELU,exp,500,1,1
0.009206771850585938,ALReLU,exp,500,1,1
0.01270294189453125,ReLU,exp,500,1,3
0.012519598007202148,Leaky_ReLU,exp,500,1,3
0.013469219207763672,ELU,exp,500,1,3
0.015459060668945312,PReLU,exp,500,1,3
0.013323545455932617,SELU,exp,500,1,3
0.021733999252319336,ALReLU,exp,500,1,3
0.031049489974975586,ReLU,exp,500,1,10
0.02782440185546875,Leaky_ReLU,exp,500,1,10
0.029592037200927734,ELU,exp,500,1,10
0.048603057861328125,PReLU,exp,500,1,10
0.03068852424621582,SELU,exp,500,1,10
0.049291133880615234,ALReLU,exp,500,1,10
0.14284229278564453,ReLU,exp,500,1,30
0.09038257598876953,Leaky_ReLU,exp,500,1,30
0.10478830337524414,ELU,exp,500,1,30
0.2739067077636719,PReLU,exp,500,1,30
0.09767508506774902,SELU,exp,500,1,30
0.2643742561340332,ALReLU,exp,500,1,30
0.01920604705810547,ReLU,lin,500,2,1
0.009823322296142578,Leaky_ReLU,lin,500,2,1
