Average Time,Activation,Observations,Dimensions,Depth
0.07808542251586914,Leaky_ReLU,500,2,30
0.08839058876037598,ELU,500,2,30
0.1301863193511963,PReLU,500,2,30
0.13925981521606445,SELU,500,2,30
0.13662409782409668,ALReLU,500,2,30
0.010648488998413086,ReLU,500,5,1
0.01706981658935547,Leaky_ReLU,500,5,1
0.020435571670532227,ELU,500,5,1
0.024141788482666016,PReLU,500,5,1
0.016127347946166992,SELU,500,5,1
0.019590377807617188,ALReLU,500,5,1
0.015394926071166992,ReLU,500,5,3
0.012478351593017578,Leaky_ReLU,500,5,3
0.01260519027709961,ELU,500,5,3
0.02769303321838379,PReLU,500,5,3
0.036492109298706055,SELU,500,5,3
0.018349409103393555,ALReLU,500,5,3
0.04159832000732422,ReLU,500,5,10
0.02991485595703125,Leaky_ReLU,500,5,10
0.03029918670654297,ELU,500,5,10
0.051451683044433594,PReLU,500,5,10
0.02800893783569336,SELU,500,5,10
0.04683089256286621,ALReLU,500,5,10
0.08599090576171875,ReLU,500,5,30
0.08090615272521973,Leaky_ReLU,500,5,30
0.1263720989227295,ELU,500,5,30
0.1133265495300293,PReLU,500,5,30
0.08356404304504395,SELU,500,5,30
0.14657902717590332,ALReLU,500,5,30
